player_id,player_name,position,country,date_of_birth,height
p1095,Simon Osborn,Midfielder,England,1/19/1972,178
p109528,Javier Manquillo,Defender,Spain,5/5/1994,178
p109533,Emerson,Defender,Italy,8/3/1994,176
p10954,Mark Bunn,Goalkeeper,England,11/16/1984,183
p10962,Marco Ambrosio,Goalkeeper,Italy,5/30/1973,180
p109638,Kean Bryan,Defender,England,11/1/1996,185
p109641,Liam McAlinden,Forward,Ireland,9/26/1993,185
p109646,Tosin Adarabioyo,Defender,England,9/24/1997,196
p109652,Brandon Barker,Midfielder,England,10/4/1996,180
p109653,Rony Lopes,Midfielder,Portugal,12/28/1995,174
p1097,Peter Markstedt,Defender,Netherlands,1/11/1972,178
p10971,Per Kroldrup,Defender,Denmark,7/31/1979,194
p109745,Kepa Arrizabalaga,Goalkeeper,Spain,10/3/1994,189
p109788,João Mário,Midfielder,Portugal,1/19/1993,179
p1098,Andy Sinton,Midfielder,England,3/19/1966,173
p10995,Charles Itandje,Goalkeeper,Cameroon,11/2/1982,193
p109966,Lucas Dawson,Midfielder,England,11/12/1993,186
p109968,Michael Clarkson,Midfielder,England,12/11/1993,180
p109999,Ibrahima Cissé,Midfielder,Guinea,2/28/1994,180
p11,Nigel Winterburn,Defender,England,12/11/1963,173
p11005,Thomas Gaardsoe,Defender,Denmark,11/23/1979,188
p1101,Richard Wright,Goalkeeper,England,11/5/1977,188
p11010,Mal Donaghy,Defender,Northern Ireland,9/13/1957,179
p11014,Mick Harford,Forward,England,2/12/1959,191
p110140,Callum Driver,Defender,England,10/23/1992,174
p11015,Ashley Grimes,Midfielder,England,12/9/1986,182
p1102,Clint Marcelle,Forward,Trinidad & Tobago,11/9/1968,163
p110219,Ross Fitzsimons,Goalkeeper,England,5/28/1994,189
p1103,Steve Sedgley,Defender,England,5/26/1968,185
p11036,Sean Thornton,Midfielder,Ireland,5/18/1983,178
p11037,Rickie Lambert,Forward,England,2/16/1982,188
p1104,Fabian Wilnis,Defender,Netherlands,8/23/1970,173
p110403,Derrick Williams,Defender,Ireland,1/17/1993,180
p11043,Nery Castillo,Forward,Mexico,6/13/1984,171
p1105,Jamie Clapham,Defender,England,12/7/1975,175
p110504,Bertrand Traoré,Forward,Burkina Faso,9/6/1995,181
p110578,Jay Lynch,Goalkeeper,England,3/31/1993,188
p1106,Jean-Manuel Thetis,Defender,France,11/5/1971,191
p110690,Ben Wilson,Goalkeeper,England,8/9/1992,186
p110697,Theo Wharton,Midfielder,St. Kitts & Nevis,11/15/1994,178
p110700,Kyle De Silva,Midfielder,England,11/29/1993,170
p110735,Adam Webster,Defender,England,1/4/1995,191
p11078,Elliott Ward,Defender,England,1/19/1985,185
p1109,Mark Venus,Defender,England,4/6/1967,183
p110932,Jack Sampson,Forward,England,4/14/1993,188
p110979,Sadio Mané,Forward,Senegal,4/10/1992,175
p111055,Martin Samuelsen,Midfielder,Norway,4/17/1997,189
p111138,Tim Payne,Forward,New Zealand,1/10/1994,179
p111153,Liam Willis,,England,5/21/1993,183
p111169,Sead Hajrovic,Defender,Bosnia & Herzegovina,0000-00-00,\N
p1112,Mick Stockwell,Midfielder,England,2/14/1965,175
p111234,Jordan Pickford,Goalkeeper,England,3/7/1994,185
p111289,Samed Yesil,Forward,Germany,5/25/1994,180
p111291,Marçal,Defender,Brazil,2/19/1989,178
p111295,Adam Morgan,Forward,England,4/21/1994,174
p1113,Matt Holland,Midfielder,Ireland,4/11/1974,175
p111317,David Brooks,Midfielder,Wales,7/8/1997,173
p111319,Jesse Joronen,Goalkeeper,Finland,3/21/1993,197
p111352,David Ferguson,Defender,England,6/7/1994,178
p111455,Tom Hopper,Forward,England,12/14/1993,186
p111457,Sead Kolasinac,Defender,Bosnia & Herzegovina,6/20/1993,183
p111478,Joël Veltman,Defender,Netherlands,1/15/1992,184
p1115,David Johnson,Forward,England,8/15/1976,168
p111565,Lucas Piazon,Midfielder,Brazil,1/20/1994,182
p111571,Thomas Eisfeld,Midfielder,Germany,1/18/1993,177
p111573,Liam Bagnall,Defender,Northern Ireland,5/17/1992,180
p111574,Graeme MacGregor,Midfielder,Scotland,6/14/1993,175
p11159,Matt Heath,Defender,England,1/11/1981,193
p1116,James Scowcroft,Forward,England,11/15/1975,185
p11160,Martin Reeves,Defender,England,9/7/1981,183
p11161,Matt Piper,Midfielder,England,9/29/1981,185
